  alpha pca  Ks   dv-err
------- ---  ---  ------
1.0e-04   1   1 69.400
1.0e-04   1   2 71.567
1.0e-04   1   5 75.250
1.0e-04   1  10 78.367
1.0e-04   1  20 78.033
1.0e-04   1  50 75.917
1.0e-04   1 100 76.167
1.0e-04   2   1 55.033
1.0e-04   2   2 59.400
1.0e-04   2   5 60.383
1.0e-04   2  10 61.200
1.0e-04   2  20 62.650
1.0e-04   2  50 63.917
1.0e-04   2 100 64.250
1.0e-04   5   1 28.333
1.0e-04   5   2 27.733
1.0e-04   5   5 28.683
1.0e-04   5  10 29.550
1.0e-04   5  20 32.083
1.0e-04   5  50 31.383
1.0e-04   5 100 31.000
1.0e-04  10   1 11.817
1.0e-04  10   2 10.550
1.0e-04  10   5  9.783
1.0e-04  10  10  9.133
1.0e-04  10  20  8.917
1.0e-04  10  50  7.783
1.0e-04  10 100  7.667
1.0e-04  20   1  6.167
1.0e-04  20   2  5.350
1.0e-04  20   5  4.350
1.0e-04  20  10  4.183
1.0e-04  20  20  3.617
1.0e-04  20  50  3.217
1.0e-04  20 100  2.517
1.0e-04  50   1  4.683
1.0e-04  50   2  3.800
1.0e-04  50   5  3.100
1.0e-04  50  10  2.600
1.0e-04  50  20  2.333
1.0e-04  50  50  1.833
1.0e-04  50 100  1.667
1.0e-04 100   1  4.267
1.0e-04 100   2  3.583
1.0e-04 100   5  2.967
1.0e-04 100  10  2.517
1.0e-04 100  20  2.150
1.0e-04 100  50  1.600
1.0e-04 100 100  1.850
