pca nH dv-err
--- -- ------
1   1 69.317
1   2 69.233
1   5 69.450
1  10 80.783
1  20 69.533
1  30 69.800
1  40 84.383
1  50 84.733
2   1 72.000
2   2 57.383
2   5 53.550
2  10 67.333
2  20 63.050
2  30 52.900
2  40 53.150
2  50 53.183
5   1 69.550
5   2 52.200
5   5 32.800
5  10 27.767
5  20 25.183
5  30 24.367
5  40 24.100
5  50 89.617
10  1 67.617
10  2 45.017
10  5 23.583
10 10 14.100
10 20 10.333
10 30 9.067
10 40 8.433
10 50  8.200
20  1 66.050
20  2 41.317
20  5 16.750
20  10 11.150
20  20  6.817
20  30  5.317
20  40  5.400
20  50  5.050
30   1 67.483
30   2 45.517
30   5 14.833
30  10  9.083
30  20  7.183
30  30  5.850
30  40  5.417
